NAME,TEAM,SALARY
"Enes Kanter, C",New York Knicks,17884176
"Wesley Matthews, SG",Dallas Mavericks,17884176
"Klay Thompson, SG",Golden State Warriors,17826150
"Joakim Noah, C",New York Knicks,17765000
"Kentavious Caldwell-Pope, SG",Los Angeles Lakers,17745894
"Luol Deng, SF",Los Angeles Lakers,17190000
"Evan Turner, SF",Portland Trail Blazers,17131148
"Goran Dragic, PG",Miami Heat,17000450
"Bismack Biyombo, C",Orlando Magic,17000000
"Evan Fournier, SG",Orlando Magic,17000000
"Kent Bazemore, SG",Atlanta Hawks,16910113
"Robert Covington, SF",Philadelphia 76ers,16698103
"Ian Mahinmi, C",Washington Wizards,16661641
"Tim Hardaway Jr., SF",New York Knicks,16500000
"Draymond Green, PF",Golden State Warriors,16400000
"Tristan Thompson, C",Cleveland Cavaliers,16400000
"Pau Gasol, C",San Antonio Spurs,16000000
"Reggie Jackson, PG",Detroit Pistons,16000000
"Dennis Schroder, PG",Atlanta Hawks,15500000
"Jonas Valanciunas, C",Toronto Raptors,15460675
"Tony Parker, PG",San Antonio Spurs,15453126
"Timofey Mozgov, C",Brooklyn Nets,15280000
"Thaddeus Young, PF",Indiana Pacers,14996348
"Andre Iguodala, SF",Golden State Warriors,14814815
"DeMarre Carroll, SF",Brooklyn Nets,14800000
"Eric Bledsoe, PG",Phoenix Suns,14500000
"Ricky Rubio, PG",Utah Jazz,14275000
"Joe Ingles, SF",Utah Jazz,14136364
"Gorgui Dieng, C",Minnesota Timberwolves,14112360
"Khris Middleton, SF",Milwaukee Bucks,14100000
"Mason Plumlee, C",Denver Nuggets,14041096
"Taj Gibson, PF",Minnesota Timberwolves,14000000
"Robin Lopez, C",Chicago Bulls,13788500
"JR Smith, SG",Cleveland Cavaliers,13760000
"James Johnson, PF",Miami Heat,13734000
"Brandon Knight, PG",Phoenix Suns,13618750
"Marvin Williams, PF",Charlotte Hornets,13168750
"Michael Kidd-Gilchrist, SF",Charlotte Hornets,13000000
"Tyson Chandler, C",Phoenix Suns,13000000
"Eric Gordon, SG",Houston Rockets,12943020
"Kenneth Faried, PF",Denver Nuggets,12921348
"Marcin Gortat, C",Washington Wizards,12782609
"Cody Zeller, C",Charlotte Hornets,12584270
"Nikola Mirotic, PF",Chicago Bulls,12500000
"Miles Plumlee, C",Atlanta Hawks,12500000
"Zach Randolph, PF",Sacramento Kings,12307692
"Nikola Vucevic, C",Orlando Magic,12250000
"Solomon Hill, SF",New Orleans Pelicans,12236535
"Nikola Pekovic, C",Minnesota Timberwolves,12100000
"Wilson Chandler, SF",Denver Nuggets,12016854
"Kemba Walker, PG",Charlotte Hornets,12000000
"Derrick Favors, PF",Utah Jazz,12000000
"Jeremy Lin, PG",Brooklyn Nets,12000000
"Austin Rivers, PG",LA Clippers,11825000
"Courtney Lee, SG",New York Knicks,11747890
"Jordan Clarkson, PG",Los Angeles Lakers,11562500
"John Henson, C",Milwaukee Bucks,11422536
"Monta Ellis, SG",Indiana Pacers,11227000
"Amir Johnson, C",Philadelphia 76ers,11000000
"Dion Waiters, SG",Miami Heat,11000000
"Alec Burks, SG",Utah Jazz,10845506
"Patty Mills, PG",San Antonio Spurs,10714286
"Kelly Olynyk, PF",Miami Heat,10607169
"Omer Asik, C",Chicago Bulls,10595505
"Terrence Ross, SG",Orlando Magic,10500000
"Mirza Teletovic, PF",Milwaukee Bucks,10500000
"Bojan Bogdanovic, SF",Indiana Pacers,10500000
"Jon Leuer, PF",Detroit Pistons,10497319
"Iman Shumpert, SG",Cleveland Cavaliers,10337079
"Maurice Harkless, SF",Portland Trail Blazers,10162922
"Danny Green, SG",San Antonio Spurs,10000000
"Jared Dudley, SF",Phoenix Suns,10000000
"Darren Collison, PG",Indiana Pacers,10000000
"Meyers Leonard, C",Portland Trail Blazers,9904495
"Tony Snell, SG",Milwaukee Bucks,9887640
"Al Jefferson, C",Indiana Pacers,9769821
"Matthew Dellavedova, PG",Milwaukee Bucks,9607500
"Bogdan Bogdanovic, SG",Sacramento Kings,9412280
"Andre Roberson, SG",Oklahoma City Thunder,9259260
"Trevor Booker, PF",Philadelphia 76ers,9125000
"Dwight Powell, C",Dallas Mavericks,9003125
"Gerald Henderson, SG",Philadelphia 76ers,9000000
"Jerryd Bayless, PG",Philadelphia 76ers,9000000
"Avery Bradley, SG",LA Clippers,8808989
"JaMychal Green, PF",Memphis Grizzlies,8533333
"E'Twaun Moore, SF",New Orleans Pelicans,8445024
"Rudy Gay, SF",San Antonio Spurs,8406000
"Kosta Koufos, C",Sacramento Kings,8393000
"Markieff Morris, PF",Washington Wizards,8000000
"Garrett Temple, SF",Sacramento Kings,8000000
"Vince Carter, SG",Sacramento Kings,8000000
"Yi Jianlian, SF",Los Angeles Lakers,8000000
"CJ Miles, SF",Toronto Raptors,7936509
"Cristiano Felicio, C",Chicago Bulls,7833500
"Shaun Livingston, PG",Golden State Warriors,7692308
"Cory Joseph, PG",Indiana Pacers,7630000
"PJ Tucker, SF",Houston Rockets,7590035
"Corey Brewer, SF",Oklahoma City Thunder,7579366
"Andrew Wiggins, SF",Minnesota Timberwolves,7574323
"Boris Diaw, C",Utah Jazz,7500000
"Darrell Arthur, PF",Denver Nuggets,7464912
"Channing Frye, PF",Los Angeles Lakers,7420912
"Trevor Ariza, SF",Houston Rockets,7420912
"Festus Ezeli, C",Portland Trail Blazers,7400000
"Al-Farouq Aminu, PF",Portland Trail Blazers,7319035
"Cole Aldrich, C",Minnesota Timberwolves,7300000
"D.J. Augustin, PG",Orlando Magic,7250000
"Markelle Fultz, PG",Philadelphia 76ers,7026240
"Lou Williams, SG",LA Clippers,7000000
"Jeremy Lamb, SG",Charlotte Hornets,7000000
"Rodney Stuckey, PG",Indiana Pacers,7000000
"Kyle Korver, SG",Cleveland Cavaliers,7000000
"Jae Crowder, PF",Utah Jazz,6796117
"Jabari Parker, PF",Milwaukee Bucks,6782392
"Langston Galloway, SG",Detroit Pistons,6666667
"Lance Thomas, SF",New York Knicks,6655325
"Carl Landry, PF",Philadelphia 76ers,6500000
"Tim Duncan, C",San Antonio Spurs,6393750
"Andrew Nicholson, PF",Portland Trail Blazers,6362998
"Ed Davis, PF",Portland Trail Blazers,6352531
"Jonathon Simmons, SF",Orlando Magic,6300000
"Lonzo Ball, PG",Los Angeles Lakers,6286560
"Wayne Ellington, SG",Miami Heat,6270000
"Isaiah Thomas, PG",Los Angeles Lakers,6261395
"Karl-Anthony Towns, C",Minnesota Timberwolves,6216840
"Ben Simmons, PG",Philadelphia 76ers,6168840
"Joel Embiid, C",Philadelphia 76ers,6100266
"Spencer Hawes, PF",Milwaukee Bucks,6061175
"Josh McRoberts, PF",Dallas Mavericks,6021175
"Milos Teodosic, PG",LA Clippers,6000000
"Ersan Ilyasova, PF",Philadelphia 76ers,6000000
"Alan Williams, PF",Phoenix Suns,6000000
"Dewayne Dedmon, C",Atlanta Hawks,6000000
"Wesley Johnson, SF",LA Clippers,5882260
"Tyler Johnson, SG",Miami Heat,5881260
"Alex Abrines, SG",Oklahoma City Thunder,5725000
"Jayson Tatum, SF",Boston Celtics,5645400
"Jared Sullinger, C",Phoenix Suns,5628000
"D'Angelo Russell, PG",Brooklyn Nets,5562360
"Brandon Ingram, SF",Los Angeles Lakers,5519400
"Patrick Beverley, PG",LA Clippers,5513514
"Aaron Gordon, PF",Orlando Magic,5504420
"Thabo Sefolosha, SF",Utah Jazz,5500000
"Luis Scola, PF",Brooklyn Nets,5500000
"Jason Smith, PF",Washington Wizards,5225000
"Ben McLemore, SG",Memphis Grizzlies,5200000
"Patrick Patterson, PF",Oklahoma City Thunder,5192000
"Nick Young, SG",Golden State Warriors,5192000
"Josh Jackson, SG",Phoenix Suns,5090040
"C.J. Watson, PG",Orlando Magic,5000000
"Greg Monroe, C",Phoenix Suns,5000000
"Dirk Nowitzki, C",Dallas Mavericks,5000000
"Mike Muscala, PF",Atlanta Hawks,5000000
"Jahlil Okafor, C",Philadelphia 76ers,4995120
"Dante Exum, PG",Utah Jazz,4992385
"Alexis Ajinca, C",New Orleans Pelicans,4961798
"Jaylen Brown, SG",Boston Celtics,4956480
"Mike Dunleavy, SG",Atlanta Hawks,4837500
"Kyle Singler, SF",Oklahoma City Thunder,4666500
"Justin Holiday, SG",Chicago Bulls,4615385
"De'Aaron Fox, PG",Sacramento Kings,4609200
"Marcus Smart, PG",Boston Celtics,4538020
"Kristaps Porzingis, PF",New York Knicks,4503600
"Dragan Bender, PF",Phoenix Suns,4468800
"Devin Harris, PG",Denver Nuggets,4402546
"Greivis Vasquez, PG",Brooklyn Nets,4347826
"Ron Baker, SG",New York Knicks,4328000
"Aron Baynes, C",Boston Celtics,4328000
"Alex Len, C",Phoenix Suns,4187599
"Nerlens Noel, C",Dallas Mavericks,4187599
"Jonathan Isaac, PF",Orlando Magic,4186320
"Lance Stephenson, SG",Indiana Pacers,4180000
"Julius Randle, PF",Los Angeles Lakers,4149242
"Kyle O'Quinn, C",New York Knicks,4087500
"Kris Dunn, PG",Chicago Bulls,4046760
"Leandro Barbosa, SG",Phoenix Suns,4000000
"Jonas Jerebko, PF",Utah Jazz,4000000
"Jordan Hill, C",Minnesota Timberwolves,4000000
"Nemanja Bjelica, PF",Minnesota Timberwolves,3949999
"Mario Hezonja, SF",Orlando Magic,3909840
"J.J. Barea, PG",Dallas Mavericks,3903900
"Quincy Pondexter, SG",Chicago Bulls,3853931
"Lauri Markkanen, PF",Chicago Bulls,3821640
"Nik Stauskas, SG",Philadelphia 76ers,3807147
"Willie Cauley-Stein, C",Sacramento Kings,3704160
"Buddy Hield, SG",Sacramento Kings,3675480
"Drew Gooden, PF",Washington Wizards,3547000
"Will Barton, SF",Denver Nuggets,3533333
"Paul Pierce, SF",LA Clippers,3527920
"Noah Vonleh, PF",Portland Trail Blazers,3505233
"Frank Ntilikina, PG",New York Knicks,3501120
"Mike Miller, SG",Denver Nuggets,3500000
"Nene Hilario, C",Houston Rockets,3477600
"Zaza Pachulia, C",Golden State Warriors,3477600
"Troy Daniels, SG",Phoenix Suns,3408520
"Emmanuel Mudiay, PG",New York Knicks,3381480
"Jamal Murray, PG",Denver Nuggets,3355320
"Elfrid Payton, PG",Phoenix Suns,3332340
"Rajon Rondo, PG",New Orleans Pelicans,3300000
"Doug McDermott, SF",New York Knicks,3294994
"Tyreke Evans, SG",Memphis Grizzlies,3290000
"Tarik Black, PF",Houston Rockets,3290000
"Anthony Tolliver, PF",Detroit Pistons,3290000
"Dennis Smith Jr., PG",Dallas Mavericks,3218280
"Zach LaVine, PG",Chicago Bulls,3202218
"Ekpe Udoh, C",Utah Jazz,3200000
"TJ Warren, SF",Phoenix Suns,3152931
"Stanley Johnson, SF",Detroit Pistons,3097800
"Marquese Chriss, PF",Phoenix Suns,3073800
"Zach Collins, C",Portland Trail Blazers,3057240
"James Ennis III, SF",Memphis Grizzlies,3028410
"Seth Curry, SG",Dallas Mavericks,3028410
"Mindaugas Kuzminskas, F",New York Knicks,3025035
"Tomas Satoransky, SG",Washington Wizards,3000000
"Justin Hamilton, C",Toronto Raptors,3000000
"Tibor Pleiss, C",Philadelphia 76ers,3000000
"Lucas Nogueira, C",Toronto Raptors,2947305
"Jusuf Nurkic, C",Portland Trail Blazers,2947305
"Malik Monk, SG",Charlotte Hornets,2904480
"Frank Kaminsky, PF",Charlotte Hornets,2847600
"Jakob Poeltl, C",Toronto Raptors,2825640
"Luke Kennard, SG",Detroit Pistons,2759280
"Justise Winslow, SF",Miami Heat,2705040
"Michael Carter-Williams, PG",Charlotte Hornets,2700000
"Thon Maker, C",Milwaukee Bucks,2684160
"Cedi Osman, SF",Cleveland Cavaliers,2642857
"Donovan Mitchell, SG",Utah Jazz,2621280
"Myles Turner, C",Indiana Pacers,2569920
"Gary Harris, SG",Denver Nuggets,2550055
"Domantas Sabonis, C",Indiana Pacers,2550000
"Reggie Bullock, SG",Detroit Pistons,2500000
"Manu Ginobili, SG",San Antonio Spurs,2500000
"Malcolm Delaney, PG",Atlanta Hawks,2500000
"Bam Adebayo, C",Miami Heat,2490360
"Bruno Caboclo, SF",Toronto Raptors,2451225
"Trey Lyles, PF",Denver Nuggets,2441400
"Dario Saric, PF",Philadelphia 76ers,2422560
"Taurean Prince, SF",Atlanta Hawks,2422560
"Rodney Hood, SG",Utah Jazz,2386864
"Justin Jackson, SF",Sacramento Kings,2365560
"Shabazz Napier, PG",Portland Trail Blazers,2361360
"Clint Capela, C",Houston Rockets,2334528
"Devin Booker, SG",Phoenix Suns,2319360
"Dante Cunningham, SF",Brooklyn Nets,2300000
"Justin Patton, C",Minnesota Timberwolves,2247480
"Guerschon Yabusele, PF",Boston Celtics,2247480
"Cameron Payne, PG",Chicago Bulls,2203440
"Mo Williams, PG",Denver Nuggets,2194500
"Denzel Valentine, SF",Chicago Bulls,2186400
"Sean Kilpatrick, SG",Brooklyn Nets,2163006
"Kyle Anderson, SF",San Antonio Spurs,2151704
"D.J. Wilson, PF",Milwaukee Bucks,2135040
"Darius Miller, SF",New Orleans Pelicans,2100000
"Kelly Oubre Jr., SF",Washington Wizards,2093040
"Juan Hernangomez, PF",Denver Nuggets,2076840
"Kendall Marshall, PG",Milwaukee Bucks,2048257
"T.J. Leaf, PF",Indiana Pacers,2028360
"Tim Frazier, PG",Washington Wizards,2000000
"Terry Rozier, PG",Boston Celtics,1988520
"Kevin Seraphin, C",Indiana Pacers,1974159
"John Collins, PF",Atlanta Hawks,1936920
"Rashad Vaughn, G",Orlando Magic,1889040
"Harry Giles, PF",Sacramento Kings,1859400
"Sam Dekker, SF",LA Clippers,1794600
"Terrance Ferguson, SG",Oklahoma City Thunder,1785000
"Henry Ellenson, PF",Detroit Pistons,1780800
"Eric Moreland, PF",Detroit Pistons,1739333
"Jerian Grant, PG",Chicago Bulls,1713840
"Jarrett Allen, C",Brooklyn Nets,1713720
"Quincy Acy, SF",Brooklyn Nets,1709538
"Tyler Zeller, C",Brooklyn Nets,1709538
"Malik Beasley, SG",Denver Nuggets,1700640
"Delon Wright, PG",Toronto Raptors,1645200
"OG Anunoby, SF",Toronto Raptors,1645200
"Ante Zizic, PF",Cleveland Cavaliers,1645200
"Caris LeVert, SG",Brooklyn Nets,1632480
"Justin Anderson, SG",Philadelphia 76ers,1579440
"Tyler Lydon, PF",Denver Nuggets,1579440
"Ryan Kelly, PF",Atlanta Hawks,1577230
"Shabazz Muhammad, SG",Minnesota Timberwolves,1577230
"Archie Goodwin, SG",Portland Trail Blazers,1577230
"Jeff Withey, C",Dallas Mavericks,1577230
"DeAndre' Bembry, SF",Atlanta Hawks,1567200
"Caron Butler, SF",Sacramento Kings,1551659
"Mitch McGary, PF",Oklahoma City Thunder,1526040
"Joffrey Lauvergne, C",San Antonio Spurs,1524305
"Julyan Stone, PG",Charlotte Hornets,1524305
"Jerami Grant, SF",Oklahoma City Thunder,1524305
"Joe Harris, SF",Brooklyn Nets,1524305
"Glenn Robinson III, SG",Indiana Pacers,1524305
"Bobby Portis, PF",Chicago Bulls,1516320
"Malachi Richardson, SG",Toronto Raptors,1504560
"Marcelo Huertas, PG",Houston Rockets,1500000
"Chris McCullough, PF",Washington Wizards,1471382
"Donald Sloan, PG",Washington Wizards,1471382
"Jarell Martin, PF",Memphis Grizzlies,1471382
"Mario Chalmers, PG",Memphis Grizzlies,1471382
"Raul Neto, PG",Utah Jazz,1471382
"Anthony Morrow, SG",Portland Trail Blazers,1471382
"Pat Connaughton, SG",Portland Trail Blazers,1471382
"Nikola Jokic, C",Denver Nuggets,1471382
"Jeremy Evans, F",Atlanta Hawks,1471382
"Caleb Swanigan, PF",Portland Trail Blazers,1465920
"Furkan Korkmaz, SG",Philadelphia 76ers,1465920
"Jordan Adams, SG",Memphis Grizzlies,1465080
"Richard Jefferson, SF",Denver Nuggets,1454756
"Willy Hernangomez, C",Charlotte Hornets,1435750
"Jameer Nelson, PG",Detroit Pistons,1429818
"Kyle Kuzma, PF",Los Angeles Lakers,1423560
"Tony Bradley, C",Utah Jazz,1414920
"Derrick White, PG",San Antonio Spurs,1404600
"Josh Hart, SG",Los Angeles Lakers,1394520
"Timothe Luwawu-Cabarrot, SG",Philadelphia 76ers,1386600
"Josh Smith, PF",New Orleans Pelicans,1379940
"Guillermo Hernangomez, C",New York Knicks,1350000
"Sasha Kaun, C",Philadelphia 76ers,1333240
"Brice Johnson, PF",Memphis Grizzlies,1331160
"Daniel Ochefu, PF",Washington Wizards,1312611
"Deyonta Davis, C",Memphis Grizzlies,1312611
"Wayne Selden, SG",Memphis Grizzlies,1312611
"Andrew Harrison, SG",Memphis Grizzlies,1312611
"Bryn Forbes, SG",San Antonio Spurs,1312611
"Treveon Graham, SG",Charlotte Hornets,1312611
"Stephen Zimmerman, C",Los Angeles Lakers,1312611
"Skal Labissiere, PF",Sacramento Kings,1312611
"Nicolas Brussino, SF",Atlanta Hawks,1312611
"Sheldon Mac, SG",Atlanta Hawks,1312611
"Isaiah Taylor, PG",Atlanta Hawks,1312611
"Semi Ojeleye, PF",Boston Celtics,1291892
"Livio Jean-Charles, SF",San Antonio Spurs,1188840
"Frank Mason III, PG",Sacramento Kings,1184385
"Abdel Nader, SF",Boston Celtics,1167333
"Damyean Dotson, SG",New York Knicks,1100000
"Tony Wroten, SG",Memphis Grizzlies,1050961
"Chris Johnson, SG",Houston Rockets,1050961
"John Jenkins, SG",Atlanta Hawks,1050961
"Wesley Iwundu, SF",Orlando Magic,1050000
"Anthony Bennett, PF",Phoenix Suns,1015696
"Andrew Goudelock, PG",Houston Rockets,1015696
"Isaiah Canaan, PG",Phoenix Suns,997547
"Arinze Onuaku, PF",Orlando Magic,980431
"Devyn Marble, SF",LA Clippers,980431
"Elton Brand, PF",Philadelphia 76ers,980431
"Chris Wright, SF",Oklahoma City Thunder,980431
"Lou Amundson, PF",New York Knicks,980431
"Greg Stiemsma, C",Portland Trail Blazers,980431
"Henry Sims, C",Utah Jazz,980431
"Jordan Farmar, PG",Sacramento Kings,980431
"Jarnell Stokes, PF",Denver Nuggets,980431
"Will Bynum, PG",Atlanta Hawks,980431
"Ivan Rabb, PF",Memphis Grizzlies,950000
"Rade Zagorac, SF",Memphis Grizzlies,950000
"Ike Anigbogu, C",Indiana Pacers,950000
"Reggie Williams, SF",New Orleans Pelicans,895197
"D.J. Stephens, SG",Memphis Grizzlies,874636
"D.J. Kennedy, SG",Memphis Grizzlies,874636
"Branden Dawson, SF",Orlando Magic,874636
"Casper Ware, PG",Melbourne United,874636
"J.J. O'Brien, SF",Milwaukee Bucks,874636
"Grant Jerrett, PF",Portland Trail Blazers,874636
"Christian Wood, PF",Charlotte Hornets,874636
"Duje Dukan, PF",Sacramento Kings,874636
"Cliff Alexander, PF",New Orleans Pelicans,874636
"Gerald Green, SG",Houston Rockets,872854
"Xavier Rathan-Mayes, SG",Memphis Grizzlies,815615
"Dillon Brooks, SF",Memphis Grizzlies,815615
"Alex Hamilton, SG",Golden State Warriors,815615
"Sterling Brown, SG",Milwaukee Bucks,815615
"Alfonzo McKinnie, SF",Toronto Raptors,815615
"Dwayne Bacon, SF",Charlotte Hornets,815615
"T.J. Williams, PG",Charlotte Hornets,815615
"Terry Henderson, SG",Charlotte Hornets,815615
"Luke Petrasek, SF",Charlotte Hornets,815615
"Royce O'Neale, SF",Utah Jazz,815615
"Daniel Theis, PF",Boston Celtics,815615
"L.J. Peak, SG",Boston Celtics,815615
"Tyler Dorsey, SG",Atlanta Hawks,815615
"Jordan Mathews, SG",Atlanta Hawks,815615
"Trey Burke, PG",New York Knicks,784160
"Alex Poythress, SF",Indiana Pacers,778668
"Dwight Buycks, PG",Detroit Pistons,748160
"Tyler Cavanaugh, PF",Atlanta Hawks,679919
"Emeka Okafor, C",New Orleans Pelicans,592030
"DeAndre Liggins, SG",Milwaukee Bucks,588120
"Scott Wood, SG",Golden State Warriors,543471
"E.J. Singler, SF",Toronto Raptors,543471
"Drew Crawford, SG",Toronto Raptors,543471
"Brady Heslip, SG",Toronto Raptors,543471
"Rasheed Sulaimon, G",Charlotte Hornets,543471
"Andrew Andrews, G",Charlotte Hornets,543471
"Ryan Richards, PF",San Antonio Spurs,543471
"J.P. Tokoto, SG",New York Knicks,543471
"Maurice Ndour, SF",New York Knicks,543471
"Isaiah Cousins, PG",Sacramento Kings,543471
"Jonathan Holmes, PF",Boston Celtics,543471
"Richard Solomon, PF",Atlanta Hawks,543471
"Marco Belinelli, SG",Philadelphia 76ers,490461
"Brandan Wright, F",Memphis Grizzlies,490461
"Joe Johnson, SG",Utah Jazz,473835
"Toney Douglas, PG",Memphis Grizzlies,379159
"C.J. Williams, SF",LA Clippers,375000
"Derrick Rose, PG",Minnesota Timberwolves,290951
"Lamar Patterson, SG",Atlanta Hawks,246956
"Wade Baldwin IV, PG",Portland Trail Blazers,229892
"Ramon Sessions, PG",Washington Wizards,224448
"Troy Williams, SF",New York Knicks,222476
"Larry Sanders, PF",Cleveland Cavaliers,207722
"Georgios Papagiannis, C",Sacramento Kings,185397
"Shaquille Harrison, PG",Phoenix Suns,175000
"Travis Wear, SF",Los Angeles Lakers,148318
"Antonius Cleveland, SG",Dallas Mavericks,133632
"Ray McCallum, PG",Charlotte Hornets,121112
"Manny Harris, PG",Dallas Mavericks,115344
"Jaylen Morris, G",Atlanta Hawks,101376
"Tim Quarterman, G",Houston Rockets,96406
"Aaron Harrison, SG",Dallas Mavericks,91442
"Brandon Jennings, PG",Milwaukee Bucks,83129
"Marquis Teague, G",Memphis Grizzlies,74186
"Rodney Purvis, SG",Orlando Magic,69120
"Mike Tobey, C",Charlotte Hornets,67135
"MarShon Brooks, SG",Memphis Grizzlies,60283
"Jordan Crawford, SG",New Orleans Pelicans,58190
"Justin Harper, PF",Philadelphia 76ers,57672
"Alonzo Gee, SF",Denver Nuggets,57672
"Jarell Eddie, SG",Chicago Bulls,57672
"Nigel Hayes, SF",Toronto Raptors,55296
"Damion Lee, SG",Atlanta Hawks,46080
"David Stockton, PG",Utah Jazz,44495
"Jonathan Gibson, PG",Boston Celtics,44495
"Okaro White, PF",Miami Heat,37049
"Pierre Jackson, PG",Dallas Mavericks,31969
"Lorenzo Brown, PG",Toronto Raptors,16626
"Quinn Cook, PG",Golden State Warriors,14832
